,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS
102,1,1,1,1,247500.0,4,1,1,1,-9425,-232,3.0
103,0,0,1,1,202500.0,4,4,1,1,-14152,-4673,3.0
104,0,0,0,1,405000.0,4,1,1,5,-17754,-2593,3.0
105,1,1,1,2,180000.0,4,4,0,1,-13059,-4813,4.0
106,0,0,1,1,112500.0,4,4,0,1,-13541,-3427,3.0
107,0,0,0,1,135000.0,4,1,1,1,-10567,-1504,3.0
108,0,0,1,1,270000.0,2,4,1,1,-14400,-2512,3.0
109,0,0,0,2,112500.0,0,4,1,1,-12189,-309,4.0
110,1,0,0,1,270000.0,4,4,1,1,-11868,-400,3.0
111,1,1,1,1,315000.0,4,4,1,1,-17543,-2851,3.0
112,1,0,0,2,225000.0,4,1,0,1,-16768,-3088,4.0
113,1,1,1,2,180000.0,2,4,1,1,-12258,-5450,4.0
114,0,0,1,1,81000.0,0,4,1,1,-14494,-1516,3.0
115,0,1,1,2,90000.0,0,4,1,1,-15525,-3357,4.0
116,0,1,1,2,121500.0,4,2,1,1,-11327,-101,4.0
117,0,0,1,1,180000.0,0,1,1,1,-11117,-3227,3.0
118,0,0,1,1,405000.0,2,1,1,1,-12732,-4520,3.0
119,0,0,1,1,180000.0,0,1,1,1,-19614,-2878,3.0
120,0,0,1,1,135000.0,4,4,1,1,-12080,-1624,3.0
121,1,0,1,2,135000.0,0,4,1,1,-12418,-226,4.0
122,0,0,1,1,126000.0,4,4,1,1,-13536,-3580,3.0
123,1,0,0,2,166500.0,4,4,0,1,-13657,-4195,4.0
124,0,0,1,1,675000.0,0,1,1,1,-15843,-1398,3.0
125,1,0,1,2,90000.0,0,4,1,1,-15988,-566,4.0
126,1,1,0,2,202500.0,4,4,1,1,-15904,-3787,4.0
127,0,0,0,2,112500.0,4,4,1,1,-10720,-128,4.0
128,1,0,0,1,292500.0,2,4,1,1,-15437,-7835,3.0
129,0,0,0,2,157500.0,2,1,1,1,-12636,-5345,4.0
130,0,0,1,1,112500.0,2,4,1,1,-14887,-2599,3.0
131,0,0,0,2,90000.0,2,1,1,3,-12532,-127,4.0
132,0,1,1,1,135000.0,0,4,1,1,-14687,-786,3.0
133,0,0,1,1,112500.0,4,4,1,1,-10406,-2774,3.0
134,0,1,0,2,135000.0,4,1,0,2,-11008,-1285,4.0
135,1,1,1,1,112500.0,4,1,1,1,-11809,-536,3.0
136,0,1,1,1,225000.0,0,1,1,1,-17002,-803,3.0
137,0,0,1,1,157500.0,2,4,1,1,-16425,-2842,3.0
138,0,0,0,1,90000.0,1,4,1,1,-9861,365243,3.0
139,1,1,0,2,157500.0,4,4,1,3,-14749,-2382,4.0
140,1,1,1,1,270000.0,0,4,1,1,-12415,-3667,3.0
141,1,1,1,1,202500.0,4,2,1,1,-16856,-854,3.0
142,0,0,1,1,157500.0,4,2,1,1,-10508,-139,3.0
143,0,0,1,2,144000.0,4,4,1,1,-14132,-2805,4.0
144,1,1,1,1,144000.0,4,4,1,1,-13509,-1028,3.0
145,0,0,1,1,175500.0,4,4,1,1,-16704,-132,3.0
146,1,1,1,1,270000.0,0,1,1,1,-14775,-5558,3.0
147,0,0,1,1,63000.0,2,4,1,1,-10223,-775,3.0
148,1,1,1,2,900000.0,0,1,1,1,-9889,-1000,4.0
149,0,0,1,1,315000.0,4,4,1,1,-16359,-4342,3.0
150,1,1,0,2,180000.0,4,2,1,1,-12463,-2170,4.0
151,0,1,0,1,180000.0,0,4,1,2,-15934,-3328,3.0
152,0,0,0,2,126000.0,4,4,1,1,-10088,-1797,4.0
153,0,0,0,1,202500.0,4,1,1,1,-16391,-2014,3.0
154,0,1,0,2,121500.0,0,4,1,1,-11023,-2652,4.0
155,0,0,0,1,112500.0,0,4,1,1,-9320,-2257,3.0
156,1,0,1,1,225000.0,4,4,1,1,-10321,-2808,3.0
157,0,0,0,1,135000.0,0,4,1,5,-13689,-1172,3.0
158,1,1,0,2,225000.0,2,1,1,5,-10937,-1539,4.0
159,0,0,1,1,157500.0,0,4,1,2,-13480,-1328,3.0
160,1,0,1,1,112500.0,4,4,1,1,-15171,-1508,3.0
161,0,0,1,1,247500.0,0,1,1,1,-14371,-1325,3.0
162,1,0,0,1,112500.0,4,4,0,1,-17862,-523,3.0
163,1,0,0,1,180000.0,0,3,1,1,-10940,-2483,3.0
164,0,0,1,2,112500.0,4,1,1,1,-14768,-2133,4.0
165,1,1,1,1,270000.0,4,1,1,1,-20739,-117,3.0
166,1,1,1,1,360000.0,4,4,1,1,-16521,-1359,3.0
167,1,1,1,2,450000.0,4,4,1,1,-18089,-1410,4.0
168,0,0,0,1,135000.0,4,1,1,5,-10263,-583,3.0
169,1,1,1,1,157500.0,4,4,1,1,-17991,-3304,3.0
170,0,1,1,1,180000.0,4,4,1,1,-15372,-553,3.0
171,0,0,0,1,90000.0,4,4,1,1,-16118,-1959,3.0
172,0,0,1,2,144000.0,4,4,1,1,-11147,-262,4.0
173,1,0,0,1,270000.0,4,4,1,1,-9943,-554,3.0
174,0,0,0,1,81000.0,4,4,1,5,-12812,-3389,3.0
175,1,0,1,2,135000.0,0,4,1,1,-13353,-567,4.0
176,0,0,1,1,90000.0,4,4,1,1,-17864,-7070,3.0
177,0,0,0,1,67500.0,0,4,1,1,-11306,-2053,3.0
178,1,0,1,1,180000.0,4,1,1,5,-15670,-1654,3.0
179,1,1,0,1,405000.0,0,1,1,1,-12179,-535,3.0
180,1,1,0,1,315000.0,2,1,1,2,-9095,-926,3.0
181,1,1,1,1,270000.0,4,4,1,1,-13207,-1401,3.0
182,1,1,1,1,180000.0,0,2,0,1,-15547,-6645,3.0
183,1,0,0,1,180000.0,0,3,1,1,-10940,-2483,3.0
184,1,1,1,2,130500.0,4,4,1,1,-11647,-2905,4.0
185,1,1,1,2,157500.0,4,4,1,1,-14312,-4480,4.0
186,1,1,1,1,315000.0,4,1,1,0,-13307,-1227,3.0
187,0,0,1,1,247500.0,4,4,1,1,-17211,-408,3.0
188,1,0,1,1,180000.0,4,4,1,1,-13481,-149,3.0
189,0,0,1,1,135000.0,0,1,1,1,-10182,-971,3.0
190,0,1,0,2,270000.0,4,4,2,1,-13281,-312,3.0
191,0,0,1,1,135000.0,4,4,1,1,-12017,-192,3.0
192,0,1,0,1,112500.0,0,4,1,1,-10858,-3215,3.0
193,1,0,0,1,225000.0,4,1,1,1,-13747,-6273,3.0
194,1,0,1,1,180000.0,0,4,0,1,-15312,-1593,3.0
195,0,0,1,1,135000.0,4,4,0,5,-10190,-279,3.0
196,0,1,1,2,225000.0,0,1,1,1,-14100,-3623,4.0
197,0,0,1,2,225000.0,0,4,0,1,-12486,-1816,4.0
198,1,1,1,2,225000.0,4,4,1,1,-19457,-2407,4.0
199,1,1,0,2,112500.0,4,1,1,1,-16044,-6693,4.0
200,1,1,0,2,180000.0,0,4,2,5,-15589,-2451,3.0
201,0,0,1,1,157500.0,4,4,1,1,-12623,-5726,3.0
202,1,1,0,1,540000.0,4,1,1,1,-14093,-704,3.0
203,0,0,1,3,225000.0,0,4,3,1,-11870,-5072,4.0
204,0,0,0,2,144000.0,4,4,1,1,-17001,-5004,4.0
205,0,0,1,1,180000.0,4,4,0,1,-10976,-668,3.0
206,1,1,1,1,157500.0,4,4,1,1,-17571,-1508,3.0
207,1,1,0,1,337500.0,2,1,1,1,-12794,-3574,3.0
208,1,1,1,1,180000.0,0,4,1,1,-9901,-124,3.0
209,0,0,1,1,270000.0,2,4,1,1,-14400,-2512,3.0
210,0,0,0,1,135000.0,0,4,1,5,-13689,-1172,3.0
211,0,1,1,1,112500.0,4,4,1,1,-14234,-309,3.0
212,1,0,0,1,135000.0,4,4,1,1,-10089,-2757,3.0
213,1,0,1,1,225000.0,2,4,1,1,-9183,-2054,3.0
214,0,0,0,2,225000.0,4,1,1,1,-11281,-1744,4.0
215,0,0,0,1,157500.0,4,1,1,1,-13549,-2877,3.0
216,0,0,1,2,225000.0,4,1,1,0,-15377,-341,4.0
217,0,0,0,1,180000.0,0,4,1,1,-17929,-6288,3.0
218,1,0,1,1,157500.0,4,4,1,1,-12585,-367,3.0
219,0,1,1,2,67500.0,4,1,1,1,-11925,-1621,4.0
220,1,1,0,1,450000.0,4,1,1,1,-19410,-5545,3.0
221,0,0,1,1,126000.0,4,4,1,1,-11461,-1204,3.0
222,1,1,0,2,157500.0,4,4,1,1,-9509,-2662,4.0
223,0,0,1,1,121500.0,1,4,1,1,-18797,365243,3.0
224,0,1,1,1,360000.0,4,1,1,1,-11619,-2475,3.0
225,1,0,1,1,225000.0,4,4,1,1,-12073,-4554,3.0
226,1,1,0,1,99000.0,1,4,1,1,-18692,365243,3.0
227,0,0,0,1,211500.0,4,4,1,1,-17519,-1132,3.0
228,1,1,1,1,180000.0,4,1,1,1,-8362,-352,3.0
229,0,0,1,2,270000.0,0,1,1,1,-15101,-3860,4.0
230,0,1,0,1,216000.0,0,1,1,1,-12344,-1254,3.0
231,0,0,0,1,135000.0,1,4,0,1,-11989,365243,3.0
232,0,1,1,2,121500.0,0,4,1,1,-12797,-249,4.0
233,1,1,0,2,135000.0,4,1,1,1,-12725,-1631,4.0
234,0,0,1,2,67500.0,4,4,2,1,-13868,-3008,3.0
235,0,0,1,2,135000.0,4,4,2,1,-14874,-2407,3.0
236,1,0,0,1,405000.0,4,4,1,5,-12675,-1328,3.0
237,0,1,1,1,247500.0,4,4,0,1,-17152,-1253,3.0
238,1,1,1,1,292500.0,0,1,1,1,-12569,-3322,3.0
239,0,0,1,2,180000.0,0,4,1,1,-12821,-5657,4.0
240,1,1,0,1,148500.0,0,4,1,1,-12930,-2865,3.0
241,0,1,0,1,112500.0,4,1,1,1,-10638,-993,3.0
242,0,0,1,1,157500.0,4,4,1,1,-14510,-3805,3.0
243,1,1,0,2,225000.0,4,4,1,1,-12801,-4357,4.0
244,1,1,1,2,270000.0,4,4,1,1,-13360,-4086,4.0
245,1,0,0,1,315000.0,0,1,1,1,-18321,-110,3.0
246,1,1,1,1,180000.0,4,4,0,1,-14136,-3928,3.0
247,1,1,0,2,315000.0,0,2,1,1,-11080,-657,4.0
248,1,1,1,1,225000.0,4,1,1,1,-13334,-4908,3.0
249,1,1,1,1,157500.0,4,4,1,1,-11627,-2128,3.0
250,0,0,1,1,112500.0,4,4,1,1,-11501,-1775,3.0
251,1,1,1,1,180000.0,4,4,0,1,-14136,-3928,3.0
252,0,0,1,1,360000.0,0,4,1,1,-15812,-565,3.0
253,1,0,1,1,202500.0,0,4,1,1,-14952,-104,3.0
254,1,1,0,1,135000.0,4,4,1,1,-9957,-921,3.0
255,1,0,1,2,270000.0,4,4,3,1,-11505,-4019,3.0
256,1,0,0,1,157500.0,4,4,1,1,-16424,-1458,3.0
257,1,1,1,2,180000.0,4,4,1,1,-14770,-1173,4.0
258,0,1,0,2,270000.0,2,1,1,1,-16053,-7369,4.0
259,1,1,0,2,225000.0,4,4,1,1,-14660,-1254,4.0
260,1,1,1,1,90000.0,4,4,1,1,-14263,-2553,3.0
261,0,0,1,2,270000.0,4,4,1,1,-11137,-1496,4.0
262,1,0,1,1,157500.0,4,4,1,1,-15627,-2315,3.0
263,0,1,0,1,90000.0,4,4,1,1,-15179,-991,3.0
264,1,1,1,1,450000.0,4,1,1,3,-18476,-2625,3.0
265,1,1,1,2,900000.0,0,1,1,1,-9889,-1000,4.0
266,0,0,0,2,112500.0,0,4,1,1,-15162,-1810,4.0
267,0,1,1,1,135000.0,0,4,1,1,-11159,-856,3.0
268,0,1,1,1,202500.0,2,4,0,1,-13652,-2530,3.0
269,0,0,1,2,157500.0,0,1,1,1,-13766,-73,4.0
270,0,0,1,1,225000.0,0,4,1,1,-14058,-3694,3.0
271,0,1,1,2,180000.0,4,1,3,2,-10433,-3019,3.0
272,0,1,1,1,81000.0,4,1,1,1,-10648,-1393,3.0
273,0,1,1,2,180000.0,0,1,1,1,-11719,-2866,4.0
274,1,1,1,2,157500.0,0,4,1,1,-10634,-102,4.0
275,0,0,1,1,135000.0,4,4,1,1,-10112,-3170,3.0
276,1,1,0,1,135000.0,4,1,1,1,-12782,-1078,3.0
277,1,1,1,1,270000.0,4,1,1,1,-17193,-1137,3.0
278,1,1,1,1,180000.0,4,1,1,1,-12143,-428,3.0
279,0,1,1,1,225000.0,1,4,1,1,-17478,365243,3.0
280,0,0,1,2,67500.0,4,4,1,1,-12176,-5316,4.0
281,1,0,1,1,180000.0,4,1,1,5,-15670,-1654,3.0
282,1,0,0,2,216000.0,4,4,1,1,-14740,-1040,4.0
283,0,0,1,2,157500.0,2,4,1,1,-13854,-409,4.0
284,0,0,1,1,63000.0,2,4,1,1,-10223,-775,3.0
285,0,0,1,1,76500.0,4,4,1,1,-15905,-8803,3.0
286,1,1,0,1,180000.0,0,1,1,1,-12925,-1693,3.0
287,1,1,0,1,157500.0,4,4,1,1,-11288,-1904,3.0
288,1,1,1,1,180000.0,4,1,1,1,-14082,-1800,3.0
289,0,0,0,1,121500.0,4,4,1,1,-14968,-118,3.0
290,1,1,1,1,202500.0,4,4,1,1,-19060,-398,3.0
291,1,1,0,2,180000.0,0,1,1,1,-10958,-1945,4.0
292,0,1,1,2,157500.0,0,1,1,1,-13584,-6337,4.0
293,1,1,0,2,225000.0,4,4,1,1,-14136,-2628,4.0
294,1,0,1,2,99000.0,4,4,1,1,-14226,-1026,4.0
295,1,1,1,1,157500.0,4,4,1,1,-15239,-2538,3.0
296,0,0,0,1,135000.0,0,4,0,1,-12873,-197,3.0
297,1,1,1,1,135000.0,4,4,1,1,-16258,-5064,3.0
298,1,1,1,2,450000.0,0,1,1,1,-17841,-4305,4.0
299,1,1,0,2,292500.0,0,1,1,1,-12892,-1722,4.0
300,0,0,1,1,67500.0,0,1,1,1,-12450,-1466,3.0
301,0,1,1,2,112500.0,4,4,1,1,-13028,-104,4.0
302,0,0,1,1,126000.0,4,4,1,1,-11461,-1204,3.0
303,0,0,1,1,391500.0,4,1,1,1,-14066,-3027,3.0
304,0,1,0,1,135000.0,4,1,1,4,-11262,-563,3.0
305,0,1,0,1,135000.0,4,1,1,2,-12523,-2482,3.0
306,1,1,1,1,202500.0,0,4,0,1,-11890,-741,3.0
307,0,0,1,1,337500.0,4,4,1,1,-12790,-3329,3.0
308,1,0,0,2,202500.0,4,4,1,1,-12703,-3141,4.0
309,1,1,1,1,292500.0,0,1,1,1,-12569,-3322,3.0
310,0,0,1,1,135000.0,0,4,1,1,-10872,-1051,3.0
311,0,0,1,2,202500.0,4,4,1,1,-15792,-6237,4.0
312,1,1,1,2,180000.0,4,4,1,1,-14770,-1173,4.0
313,1,0,0,1,202500.0,0,1,1,1,-13040,-1223,3.0
314,1,1,0,2,180000.0,0,4,2,5,-15589,-2451,3.0
315,0,1,1,2,315000.0,0,1,1,5,-12621,-1327,4.0
316,1,1,1,1,324000.0,0,4,1,2,-11523,-2522,3.0
317,1,1,0,1,135000.0,4,2,1,1,-13524,-1293,3.0
318,0,1,1,1,112500.0,4,4,1,1,-15174,-3292,3.0
319,0,1,0,2,90000.0,4,4,1,1,-13970,-292,4.0
320,1,1,0,2,225000.0,2,1,1,5,-10937,-1539,4.0
321,0,0,1,1,202500.0,4,4,1,1,-16103,-3565,3.0
322,1,0,0,1,315000.0,0,1,1,1,-18321,-110,3.0
323,1,0,1,1,180000.0,0,4,1,2,-12627,-2267,3.0
324,0,0,1,2,112500.0,4,4,1,1,-11875,-2568,4.0
325,0,0,0,1,202500.0,4,1,1,1,-16391,-2014,3.0
326,1,1,0,1,270000.0,0,4,0,1,-13534,-1420,3.0
327,0,1,0,1,90000.0,2,4,1,2,-13891,-7080,3.0
328,0,0,0,2,130500.0,4,4,1,1,-15436,-3476,4.0
329,0,1,0,1,166500.0,2,1,1,1,-14489,-5819,3.0
330,0,0,0,2,202500.0,4,4,1,1,-13446,-2720,4.0
331,1,0,0,1,180000.0,4,4,3,1,-10656,-926,3.0
332,0,0,1,2,103500.0,4,4,1,1,-14431,-6621,4.0
333,0,0,0,2,73350.0,4,4,1,1,-14321,-7068,4.0
334,0,0,1,1,135000.0,4,4,0,1,-16323,-5467,3.0
335,0,1,1,2,540000.0,4,1,3,1,-14160,-422,3.0
336,0,1,0,1,157500.0,4,4,1,1,-14883,-1010,3.0
337,1,1,0,2,213750.0,2,1,1,1,-12569,-3748,4.0
338,1,1,1,2,900000.0,0,1,1,1,-9889,-1000,4.0
339,0,0,1,2,337500.0,2,1,1,1,-15648,-4157,4.0
340,1,1,1,1,202500.0,4,4,1,1,-9120,-1693,3.0
341,1,1,1,1,135000.0,4,2,1,1,-11638,-5009,3.0
342,0,0,1,1,256500.0,2,1,1,1,-17594,-1315,3.0
343,0,0,1,1,157500.0,0,4,1,1,-15466,-2269,3.0
344,0,1,0,1,148500.0,4,4,1,1,-11675,-3779,3.0
345,0,1,0,1,180000.0,4,4,1,1,-11107,-130,3.0
346,1,1,0,2,166500.0,0,1,1,1,-12312,-1199,4.0
347,0,0,0,1,180000.0,4,4,1,1,-14167,-735,3.0
348,0,1,1,2,225000.0,0,1,1,1,-14100,-3623,4.0
349,0,1,1,2,225000.0,0,1,1,1,-14100,-3623,4.0
350,0,1,1,1,315000.0,4,4,1,1,-15506,-6099,3.0
351,0,1,1,1,139500.0,4,4,1,1,-16765,-1506,3.0
352,0,1,0,1,90000.0,2,4,1,2,-13891,-7080,3.0
353,0,0,1,2,157500.0,0,1,1,1,-12135,-1216,4.0
354,1,1,1,2,135000.0,4,1,1,1,-11564,-2944,4.0
355,0,0,0,2,81000.0,4,3,3,1,-15373,-2333,3.0
356,0,1,1,1,360000.0,4,1,1,1,-11619,-2475,3.0
357,0,1,1,2,270000.0,4,4,0,1,-12745,-525,4.0
358,1,1,0,2,292500.0,0,4,1,1,-14670,-6957,4.0
359,1,1,1,2,225000.0,4,4,1,1,-14923,-5434,4.0
360,1,0,1,1,135000.0,4,4,1,1,-12520,-5345,3.0
361,1,0,1,2,180000.0,4,4,1,1,-13828,-6004,4.0
362,1,1,1,2,135000.0,0,4,1,1,-12712,-131,4.0
363,1,0,1,2,81000.0,1,4,1,1,-24278,365243,4.0
364,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,4.0
365,0,0,0,2,139500.0,4,2,1,5,-13166,-2988,4.0
366,1,0,0,2,225000.0,4,1,0,1,-16768,-3088,4.0
367,0,0,1,2,225000.0,4,4,0,1,-11268,-1741,4.0
368,0,1,1,1,630000.0,4,4,1,1,-17755,-401,3.0
369,0,0,0,1,157500.0,0,2,1,5,-11941,-2760,3.0
370,1,1,0,1,270000.0,4,2,1,1,-15053,-3386,3.0
371,1,1,1,1,112500.0,4,1,1,1,-16023,-965,3.0
372,0,0,1,1,67500.0,4,4,1,5,-15964,-385,3.0
373,0,1,1,1,202500.0,4,4,1,1,-10310,-2257,3.0
374,1,1,1,2,180000.0,4,4,0,1,-13059,-4813,4.0
375,1,0,0,1,360000.0,4,3,1,1,-12615,-1048,3.0
376,0,0,0,1,180000.0,4,4,1,5,-10774,-2592,3.0
377,0,1,1,1,315000.0,0,1,1,1,-16710,-3092,3.0
378,1,1,1,1,157500.0,0,4,1,1,-14451,-4206,3.0
379,1,0,0,2,180000.0,4,4,1,1,-9930,-2324,4.0
380,1,0,1,1,157500.0,4,4,0,1,-13314,-544,3.0
381,0,0,1,2,157500.0,0,1,1,1,-13766,-73,4.0
382,1,1,1,2,247500.0,4,2,1,1,-13102,-962,4.0
383,1,0,0,1,405000.0,4,4,1,5,-12675,-1328,3.0
384,1,0,1,2,90000.0,0,4,1,1,-19026,-2881,4.0
385,1,1,0,2,135000.0,2,4,1,1,-14038,-6558,4.0
386,0,1,1,1,180000.0,0,1,1,1,-11901,-183,3.0
387,0,1,1,1,157500.0,4,3,1,1,-14400,-1435,3.0
388,0,0,1,2,157500.0,4,4,1,1,-10710,-2351,4.0
389,1,1,1,1,90000.0,4,4,1,1,-14163,-2215,3.0
390,0,0,0,1,157500.0,4,4,0,5,-11206,-716,3.0
391,1,1,0,2,234000.0,2,4,1,1,-10293,-3243,4.0
392,1,1,0,2,292500.0,0,4,1,1,-14670,-6957,4.0
